Time, Num Carriers, CC CE, CC RE, #H C , #El C, #Ex C, #Ex D
0.000000, 0, 0, 0, 0, 0, 1, 0 
0.000000, 2, 0, 0, 0, 0, 1, 1 
0.000000, 2, 0, 0, 0, 0, 2, 1 
0.000000, 2, 0, 0, 0, 0, 3, 1 
0.000000, 2, 0, 0, 0, 0, 4, 1 
0.000000, 4, 0, 0, 0, 0, 4, 2 
0.000000, 4, 0, 0, 0, 0, 5, 2 
0.000000, 6, 0, 0, 0, 0, 5, 3 
0.000000, 6, 0, 0, 0, 0, 6, 3 
0.000000, 8, 0, 0, 0, 0, 6, 4 
0.000000, 8, 0, 0, 0, 0, 7, 4 
0.000000, 10, 0, 0, 0, 0, 7, 5 
0.000000, 10, 0, 0, 0, 0, 8, 5 
0.000000, 10, 0, 0, 0, 0, 9, 5 
0.000000, 12, 0, 0, 0, 0, 9, 6 
0.000000, 11, 1, 0, 0, 1, 9, 6 
0.000000, 11, 1, 0, 0, 1, 10, 6 
0.000000, 13, 1, 0, 0, 1, 10, 7 
0.000000, 13, 1, 0, 0, 1, 11, 7 
0.000000, 15, 1, 0, 0, 1, 11, 8 
0.000000, 15, 1, 0, 0, 1, 12, 8 
0.000000, 15, 1, 0, 0, 1, 13, 8 
0.000000, 17, 1, 0, 0, 1, 13, 9 
0.000000, 17, 1, 0, 0, 1, 14, 9 
0.000000, 17, 1, 0, 0, 1, 15, 9 
0.000000, 19, 1, 0, 0, 1, 15, 10 
0.000000, 19, 1, 0, 0, 1, 16, 10 
0.000000, 21, 1, 0, 0, 1, 16, 11 
0.000000, 21, 1, 0, 0, 1, 17, 11 
0.000000, 23, 1, 0, 0, 1, 17, 12 
0.000000, 23, 1, 0, 0, 1, 18, 12 
0.000000, 23, 1, 0, 0, 1, 19, 12 
0.000000, 25, 1, 0, 0, 1, 19, 13 
0.000000, 25, 1, 0, 0, 1, 20, 13 
0.000000, 25, 1, 0, 0, 1, 21, 13 
0.000000, 27, 1, 0, 0, 1, 21, 14 
0.000000, 27, 1, 0, 0, 1, 22, 14 
0.000000, 29, 1, 0, 0, 1, 22, 15 
0.000000, 29, 1, 0, 0, 1, 23, 15 
0.000000, 31, 1, 0, 0, 1, 23, 16 
0.000000, 31, 1, 0, 0, 1, 24, 16 
0.000000, 31, 1, 0, 0, 1, 25, 16 
0.000000, 33, 1, 0, 0, 1, 25, 17 
0.000000, 33, 1, 0, 0, 1, 26, 17 
0.000000, 35, 1, 0, 0, 1, 26, 18 
0.000000, 35, 1, 0, 0, 1, 27, 18 
0.000000, 37, 1, 0, 0, 1, 27, 19 
0.000000, 37, 1, 0, 0, 1, 28, 19 
0.000000, 39, 1, 0, 0, 1, 28, 20 
0.000000, 39, 1, 0, 0, 1, 29, 20 
0.000000, 41, 1, 0, 0, 1, 29, 21 
0.000000, 41, 1, 0, 0, 1, 30, 21 
0.000000, 43, 1, 0, 0, 1, 30, 22 
0.000000, 43, 1, 0, 0, 1, 31, 22 
0.000000, 45, 1, 0, 0, 1, 31, 23 
0.000000, 45, 1, 0, 0, 1, 32, 23 
0.000000, 47, 1, 0, 0, 1, 32, 24 
0.000000, 47, 1, 0, 0, 1, 33, 24 
0.000000, 49, 1, 0, 0, 1, 33, 25 
0.000000, 49, 1, 0, 0, 1, 34, 25 
