Time, Num Carriers, CC CE, CC RE, #H C , #El C, #Ex C, #Ex D
0.000000, 0, 0, 0, 0, 0, 1, 0 
0.000000, 2, 0, 0, 0, 0, 1, 1 
0.000000, 2, 0, 0, 0, 0, 2, 1 
0.000000, 4, 0, 0, 0, 0, 2, 2 
0.000000, 4, 0, 0, 0, 0, 3, 2 
0.000000, 6, 0, 0, 0, 0, 3, 3 
0.000000, 6, 0, 0, 0, 0, 4, 3 
0.000000, 8, 0, 0, 0, 0, 4, 4 
0.000000, 8, 0, 0, 0, 0, 5, 4 
0.000000, 8, 0, 0, 0, 0, 6, 4 
0.000000, 10, 0, 0, 0, 0, 6, 5 
0.000000, 10, 0, 0, 0, 0, 7, 5 
0.000000, 12, 0, 0, 0, 0, 7, 6 
0.000000, 12, 0, 0, 0, 0, 8, 6 
0.000000, 12, 0, 0, 0, 0, 9, 6 
0.000000, 14, 0, 0, 0, 0, 9, 7 
0.000000, 14, 0, 0, 0, 0, 10, 7 
0.000000, 16, 0, 0, 0, 0, 10, 8 
0.000000, 16, 0, 0, 0, 0, 11, 8 
0.000000, 16, 0, 0, 0, 0, 12, 8 
0.000000, 18, 0, 0, 0, 0, 12, 9 
0.000000, 18, 0, 0, 0, 0, 13, 9 
0.000000, 18, 0, 0, 0, 0, 14, 9 
0.000000, 20, 0, 0, 0, 0, 14, 10 
0.000000, 20, 0, 0, 0, 0, 15, 10 
0.000000, 20, 0, 0, 0, 0, 16, 10 
0.000000, 20, 0, 0, 0, 0, 17, 10 
0.000000, 22, 0, 0, 0, 0, 17, 11 
0.000000, 22, 0, 0, 0, 0, 18, 11 
0.000000, 22, 0, 0, 0, 0, 19, 11 
0.000000, 24, 0, 0, 0, 0, 19, 12 
0.000000, 24, 0, 0, 0, 0, 20, 12 
0.000000, 24, 0, 0, 0, 0, 21, 12 
0.000000, 24, 0, 0, 0, 0, 22, 12 
0.000000, 26, 0, 0, 0, 0, 22, 13 
0.000000, 26, 0, 0, 0, 0, 23, 13 
0.000000, 28, 0, 0, 0, 0, 23, 14 
0.000000, 28, 0, 0, 0, 0, 24, 14 
0.000000, 28, 0, 0, 0, 0, 25, 14 
0.000000, 28, 0, 0, 0, 0, 26, 14 
0.000000, 28, 0, 0, 0, 0, 27, 14 
0.000000, 28, 0, 0, 0, 0, 28, 14 
0.000000, 30, 0, 0, 0, 0, 28, 15 
0.000000, 30, 0, 0, 0, 0, 29, 15 
0.000000, 30, 0, 0, 0, 0, 30, 15 
0.000000, 30, 0, 0, 0, 0, 31, 15 
0.000000, 30, 0, 0, 0, 0, 32, 15 
0.000000, 32, 0, 0, 0, 0, 32, 16 
0.000000, 32, 0, 0, 0, 0, 33, 16 
0.000000, 32, 0, 0, 0, 0, 34, 16 
0.000000, 34, 0, 0, 0, 0, 34, 17 
0.000000, 34, 0, 0, 0, 0, 35, 17 
0.000000, 36, 0, 0, 0, 0, 35, 18 
0.000000, 36, 0, 0, 0, 0, 36, 18 
0.000000, 38, 0, 0, 0, 0, 36, 19 
0.000000, 38, 0, 0, 0, 0, 37, 19 
0.000000, 40, 0, 0, 0, 0, 37, 20 
0.000000, 40, 0, 0, 0, 0, 38, 20 
0.000000, 40, 0, 0, 0, 0, 39, 20 
0.000000, 42, 0, 0, 0, 0, 39, 21 
